Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","SMD-0805",144.6406,-104.8894,90.0000,bottom
"C2","100pF","SMD-0805",151.9050,-106.8325,-90.0000,bottom
"C3","100nF","SMD-0805",160.6045,-108.1660,0.0000,bottom
"C4","100pF","SMD-0805",160.6045,-106.1340,0.0000,bottom
"C5","1nF","SMD-0805",154.3180,-102.7685,0.0000,bottom
"C6","1nF","SMD-0805",161.0550,-89.1233,90.0000,bottom
"C7","1nF","SMD-0805",161.0669,-96.0241,-90.0000,bottom
"C8","1nF","SMD-0805",147.7394,-96.2026,135.0000,bottom
"C9","2p2","SMD-0805",151.2700,-93.4975,-90.0000,bottom
"C10","2p2","SMD-0805",156.9850,-93.4975,-90.0000,bottom
"D1","M4","D_SMA",148.4633,-81.9807,0.0000,bottom
"D2","BZV55C-3,6V","D_MiniMELF",158.8713,-84.9369,-90.0000,bottom
"D3","BZV55C-3,6V","D_MiniMELF",155.4610,-84.9530,-90.0000,bottom
"D4","RED","LED_1206",155.8420,-108.9280,0.0000,bottom
"FL1","SAW_AFS434S3-T_AFS869S3-T","ABRACON_AFS",149.3650,-101.4350,180.0000,bottom
"J1","HEADER_2x03_PARALLEL","Straight_2x03",148.0950,-77.3050,90.0000,top
"J2","SMA","SMB_Jack_Vertical",140.4750,-86.8300,0.0000,top
"J3","SMA","SMB_Jack_Vertical",140.4750,-98.2600,0.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",158.8900,-79.2100,90.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",161.4300,-79.2100,90.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",163.8430,-107.6580,90.0000,top
"J7","SMA","SMB_Jack_Vertical",168.4150,-86.8300,0.0000,top
"J8","SMA","SMB_Jack_Vertical",168.4150,-98.2600,0.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",153.8100,-79.2100,90.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_2x01",156.3500,-79.2100,90.0000,top
"L1","74279204","L_0805_2012Metric",155.2875,-105.8800,0.0000,bottom
"L2","100nH","L_0805_2012Metric",158.4074,-103.2665,135.0000,bottom
"L3","1n5H","L_0805_2012Metric",151.8077,-96.8630,180.0000,bottom
"L4","100nH","SMD-0805",163.1716,-85.8775,-90.0000,bottom
"L5","100nH","SMD-0805",163.1846,-99.2125,90.0000,bottom
"L6","6n8","SMD-0805",154.1275,-92.5450,0.0000,bottom
"M1","HOLE","MountingHole_3mm",169.6850,-77.3050,0.0000,top
"M2","HOLE","MountingHole_3mm",139.2050,-107.7850,0.0000,top
"M3","HOLE","MountingHole_3mm",139.2050,-77.3050,0.0000,top
"M4","HOLE","MountingHole_3mm",169.6850,-107.7850,0.0000,top
"R1","10k","SMD-0805",149.6263,-109.6138,0.0000,bottom
"R2","10k","SMD-0805",158.8900,-75.0825,90.0000,bottom
"R3","10k","SMD-0805",161.4300,-75.0825,-90.0000,bottom
"R4","10k","SMD-0805",156.3500,-75.0825,-90.0000,bottom
"R5","10k","SMD-0805",153.8100,-75.0825,90.0000,bottom
"R6","330R","SMD-0805",160.6045,-110.3250,0.0000,bottom
"U1","TPS22945DCKR","SOT-353_SC-70-5",148.7300,-106.5150,180.0000,bottom
"U2","PE4259","SOT-363_SC-70-6",160.1600,-92.5450,180.0000,bottom
"U3","SPF5189Z","SOT-89-3",156.3500,-98.8950,180.0000,bottom
"U4","PE4259","SOT-363_SC-70-6",148.0950,-92.5450,0.0000,bottom
