Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,Unpolarized capacitor,C,C9C10,2p2,SMD-0805,2,~,5c70984712875079b91f8b27
2,Unpolarized capacitor,C,C2C4,100pF,SMD-0805,2,~,5c70984712875079b91f8b3b
3,Unpolarized capacitor,C,C5C6C7C8,1nF,SMD-0805,4,~,5c70984712875079b91f8b45
4,Unpolarized capacitor,C,C3,100nF,SMD-0805,1,~,5c70984712875079b91f8b4c
5,Unpolarized capacitor,C,C1,10uF,SMD-0805,1,~,5c70984812875079b91f8bbd
6,Zener diode,D_Zener,D2D3,"BZV55C-3,6V",D_MiniMELF,2,https://www.tme.eu/cz/details/mmsz5227bq-7-f/zenerovy-diody-smd/diodes-incorporated/,5c70984512875079b91f88b1
7,Diode,D,D1,M4,D_SMA,1,~,5c70984512875079b91f88ac
8,Light emitting diode,LED,D4,RED,LED_1206,1,~,5c70984412875079b91f8896
9,Dielectric Band Pass Filter for 1575MHz,SAW_AFS434S3-T_AFS869S3-T,FL1,SAW_AFS434S3-T_AFS869S3-T,ABRACON_AFS,1,,5c70984712875079b91f8b19
10,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J4J5J6J9J10,HEADER_2x01_PARALLEL,Straight_2x01,5,,
11,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1,HEADER_2x03_PARALLEL,Straight_2x03,1,,
12,,SMA,J2J3J7J8,SMA,SMB_Jack_Vertical,4,,5fa10cc512875025b39779f6
13,Inductor,L,L6,6n8,SMD-0805,1,~,5face69f12875025b3977f1d
14,Inductor,L,L2L4L5,100nH,L_0805_2012Metric,3,~,5c70984412875079b91f880a
15,Inductor,L,L3,1n5H,L_0805_2012Metric,1,~,5face60a12875025b3977f03
16,Inductor,L,L1,74279204,L_0805_2012Metric,1,~,
17,Resistor,R,R6,330R,SMD-0805,1,~,5c70984512875079b91f8984
18,Resistor,R,R1R2R3R4R5,10k,SMD-0805,5,~,5c70984612875079b91f899f
19,RF Switch,PE4259,U2,PE4259,SOT-363_SC-70-6,1,https://www.psemi.com/pdf/datasheets/pe4259ds.pdf,5face19b12875025b3977e15
20,RF Switch,MLAB_IO:PE4259_1,U4,PE4259,SOT-363_SC-70-6,1,https://www.psemi.com/pdf/datasheets/pe4259ds.pdf,5face19b12875025b3977e15
21,"50MHz to 4000MHz, GaAs pHEMT low noise MMIC amplifier, SOT-89",SPF5189Z,U3,SPF5189Z,SOT-89-3,1,www.qorvo.com/products/d/da001910,5c70984612875079b91f8a08
22,x Low-input-voltage Current-limited Load Switches With Shut Off And AutoRestart Feature,TPS22945DCKR,U1,TPS22945DCKR,SOT-353_SC-70-5,1,https://www.ti.com/lit/ds/symlink/tps22945.pdf?HQS=TI-null-null-mousermode-df-pf-null-wwe&ts=1603435443532&ref_url=https%253A%252F%252Fcz.mouser.com%252F,5c70984612875079b91f89ca
